问题id,问题时间,问题标题,问题链接
615006616,2023-08-01 09:55:14,问个问题，赛力斯，问界，华为到底什么关系，华为不是说不造车吗，为什么都讲华为问界？,https://www.zhihu.com/question/615006616
651143945,2024-04-01 12:47:55,小米汽车命名小米，为什么华为汽车叫问界？,https://www.zhihu.com/question/651143945
652983350,2024-04-15 08:18:40,如何看待问界M7不让做碰撞测试？,https://www.zhihu.com/question/652983350
654278629,2024-04-27 15:30:58,问界M7发生交通事故起火致3人死亡，疑似车门打不开，车企回应「已成立专项小组跟进核实」，具体情况如何？,https://www.zhihu.com/question/654278629
654303541,2024-04-27 19:50:27,如何看待赛力斯问界M7高速事故后起火？,https://www.zhihu.com/question/654303541
654318839,2024-04-27 23:27:41,如何看待2024年4月26日下午华为问界M7高速车祸？,https://www.zhihu.com/question/654318839
654332245,2024-04-28 05:43:51,如何看待华为问界M7高速追尾起火致三人死亡？,https://www.zhihu.com/question/654332245
654370144,2024-04-28 12:16:50,AITO汽车回应问界M7交通事故「安全气囊正常打开，动力电池包特性均正常」，还有哪些信息值得关注？,https://www.zhihu.com/question/654370144
654370664,2024-04-28 12:28:50,如何看待问界M7高速起火事件？和雷克萨斯事件有何区别？,https://www.zhihu.com/question/654370664
654371635,2024-04-28 12:46:25,如何看待AITO汽车回应问界M7交通事故：事故时车速115公里/小时，安全气囊正常打开，动力电池正常？,https://www.zhihu.com/question/654371635
654377255,2024-04-28 14:42:52,问界称山西 M7 事故车是入门非智驾版，未搭载华为高阶智能驾驶辅助系统，不存在电池自燃情况，如何看待？,https://www.zhihu.com/question/654377255
654394148,2024-04-28 18:20:21,如何评价出事故的华为问界M7车型疑似AEB混用？,https://www.zhihu.com/question/654394148
654456206,2024-04-29 08:18:14,问界M7追尾起火3人遇难，四大疑问待解，为何碰撞未自动解锁？到底用的谁家的智驾方案？,https://www.zhihu.com/question/654456206
654463221,2024-04-29 10:28:03,问界M7车祸女车主发帖：痛失3位至亲却都在声讨我，我声讨谁？,https://www.zhihu.com/question/654463221
654523639,2024-04-29 23:11:20,赛力斯问界车祸3人死亡，但是股价反而上涨的原因是什么？,https://www.zhihu.com/question/654523639
654556540,2024-04-30 07:39:52,问界 M7 事件家属发声明，称「希望大家不要再打扰我和我的家人」，哪些信息值得关注？,https://www.zhihu.com/question/654556540
654559013,2024-04-30 08:20:54,如何看待问界 M7 事故家属发声还原真相？,https://www.zhihu.com/question/654559013
654566726,2024-04-30 10:48:57,问界M7起火事故调查进展如何？,https://www.zhihu.com/question/654566726
654627434,2024-05-01 01:55:24,怎么看待华为问界电车追尾事故之后网上两极评论和华为的公关?,https://www.zhihu.com/question/654627434
654671560,2024-05-01 12:23:18,《新京报》微信公众号近期发布问界M7事故新闻说明了什么？,https://www.zhihu.com/question/654671560
655131028,2024-05-06 15:01:40,如何看待问界回应 M7 高速碰撞事故四大疑问？,https://www.zhihu.com/question/655131028
655131747,2024-05-06 15:12:16,问界就山西运城 M7 事故中相关技术问题发布说明，哪些信息值得关注？,https://www.zhihu.com/question/655131747
655131756,2024-05-06 15:12:24,如何看待问界官方5月6日下午的详细回应？,https://www.zhihu.com/question/655131756
655131839,2024-05-06 15:13:25,问界就山西运城 M7 事故中相关技术问题发布说明回应四大疑问，哪些信息值得关注？,https://www.zhihu.com/question/655131839
655132023,2024-05-06 15:16:40,AITO汽车再次回应问界M7交通事故：仅主驾系安全带、门把手未弹出。你怎么看？,https://www.zhihu.com/question/655132023
655212254,2024-05-07 10:46:54,4 年亏损近百亿，赛力斯今年一季度扭亏为盈，问界车型销量贡献度超九成，哪些信息值得关注？,https://www.zhihu.com/question/655212254
655461865,2024-05-09 16:53:09,如何看待消失的问界第二季小牛说车测评结果？,https://www.zhihu.com/question/655461865
655633504,2024-05-11 06:29:46,如何看待问界M9新车交付现场出故障，拒绝退车退款？,https://www.zhihu.com/question/655633504
655671708,2024-05-11 14:47:54,如何评价问界M7车祸是全中国有史以来第一个上热搜又光速被下热搜的车祸？,https://www.zhihu.com/question/655671708
